item_id,name,description,consumed,base_gold,depth,sr,effect1amount,effect2amount,effect3amount,effect4amount,effect5amount,effect6amount,effect7amount,effect8amount,from,into,gold_purchasable,total_gold,req_champion,special_recipe,stacks,flat_armor_mod,flat_crit_chance_mod,flat_hp_pool_mod,flat_hp_regen_mod,flat_magic_dmg_mod,flat_ms_mod,flat_phys_dmg_mod,flat_spellblock_mod,flat_pct_atk_speed_mod,pct_lifesteal_mod,pct_movespeed_mod,tags,full_item
1001,Boots of Speed,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed,0,300,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3006, 3047, 3020, 3158, 3111, 3117, 3009, 3173, 4001]",True,300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,[Boots],False
1004,Faerie Charm,<stats><mana>+25% Base Mana Regen </mana></stats>,0,125,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3028, 3070, 3073, 3114, 3098, 2065, 3311]",True,125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[ManaRegen],False
1006,Rejuvenation Bead,<stats>+50% Base Health Regen </stats>,0,150,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3077, 3308, 3305, 3097, 2053, 3801, 3096, 3194, 4401]",True,150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[HealthRegen],False
1011,Giant's Belt,<stats>+380 Health</stats>,0,600,2.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1028],"[3083, 3084, 3022, 3143, 3742]",True,1000,0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Health],False
1026,Blasting Wand,<stats>+40 Ability Power</stats>,0,850,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3135, 3029, 3151, 3027, 3100, 3102, 3116, 3165, 3285, 3312]",True,850,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,[SpellDamage],False
1027,Sapphire Crystal,<stats><mana>+250 Mana</mana></stats>,0,350,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3057, 3070, 3010, 3024, 3073, 1402, 1414, 3508, 3802, 4104]",True,350,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Mana],False
1028,Ruby Crystal,<stats>+150 Health</stats>,0,400,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[1011, 3075, 3211, 3136, 3068, 3069, 3010, 3801, 3044, 3052, 3053, 3067, 3092, 3814, 3116, 3401, 3748, 3751, 3916]",True,400,0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Health],False
1029,Cloth Armor,<stats>+15 Armor</stats>,0,300,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3047, 1031, 3191, 3024, 3082, 3076, 2053, 3105]",True,300,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Armor],False
1031,Chain Vest,<stats>+40 Armor</stats>,0,500,2.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1029],"[3068, 3118, 3109, 3026, 3193, 3742]",True,800,0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Armor],False
1033,Null-Magic Mantle,<stats>+25 Magic Resist</stats>,0,450,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3111, 3211, 1057, 3028, 3140, 3155, 3105, 3190, 3102, 3194]",True,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,[SpellBlock],False
1036,Long Sword,<stats>+10 Attack Damage</stats>,0,350,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3080, 3077, 3123, 1053, 1059, 3154, 3155, 3134, 3095, 3162, 3035, 3044, 3052, 3072, 3122, 3133, 3144, 3252, 4003]",True,350,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,"[Damage, Lane]",False
1037,Pickaxe,<stats>+25 Attack Damage</stats>,0,875,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3231, 3230, 3124, 3004, 3005, 3008, 3031, 3036, 3053, 3074, 3814, 3813, 3812, 3139, 3181]",True,875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,[Damage],False
1038,B. F. Sword,<stats>+40 Attack Damage</stats>,0,1300,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[3172, 3080, 3095, 3026, 3031, 3072, 3161, 3508]",True,1300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,[Damage],False
